"5-digit FIPS Code","Uninsured raw value","Primary care physicians raw value","Social associations raw value","Preventable hospital stays raw value","Uninsured adults raw value","Uninsured children raw value","Health care costs raw value","Food environment index raw value","Poor or fair health raw value","Poor physical health days raw value","Poor mental health days raw value","Excessive drinking raw value","Frequent physical distress raw value","Frequent mental distress raw value","Insufficient sleep raw value","Adult smoking raw value","Access to exercise opportunities raw value","Mental health providers raw value","Other primary care providers raw value","Adult obesity raw value","Physical inactivity raw value","MentalDisordersDeath","Suicide"
"01001",0.1101623445,0.0004151999,13.719649788,58.59,0.1421476789,0.0346987952,9858.62,6.9,0.194,4.4,4.3,0.151,0.129,0.128,0.376,0.187,0.708214986,0.000126706,0.0001629077,0.364,0.309,28.3152999011977,16.266236113454
"01003",0.1613299188,0.0007395895,11.543593306,47.61,0.2045904166,0.0491099636,9412.78,7.5,0.16,4.1,4.2,0.151,0.122,0.128,0.328,0.186,0.721685458,0.0007261941,0.0002915005,0.293,0.245,58.0619327282435,20.0213561131874
"01005",0.1534209428,0.0004091196,8.182392978,73.5,0.1988075961,0.0449667859,10117.09,4.9,0.257,4.9,4.7,0.124,0.154,0.149,0.396,0.214,0.4526714499,3.69331e-05,0.0001107992,0.442,0.306,45.9901556207428,7.45786307363397
"01007",0.1356417144,0.0003998934,10.219497023,77.35,0.1717252396,0.0395445135,10817.25,7.3,0.22,4.8,4.6,0.138,0.148,0.143,0.406,0.21,0.3283875191,0,8.88415e-05,0.384,0.375,45.8573098031094,17.7512166979778
"01009",0.1647524835,0.0001905785,8.4894055684,63.02,0.2081461166,0.0565343522,10035.61,8.3,0.207,4.6,4.5,0.141,0.139,0.138,0.362,0.194,0.2550853076,5.18385e-05,6.91181e-05,0.358,0.29,43.2865453873857,15.0060024009604
"01011",0.1730971129,0.0002787068,10.21924935,76.3,0.2278575424,0.0448637317,9275.93,3.8,0.293,5.3,4.8,0.113,0.17,0.155,0.441,0.223,0.231995602,9.39938e-05,0.0005639628,0.402,0.298,34.2689803420667,31.1536184927879
"01013",0.1439681678,0.0004434371,11.824990146,86.37,0.1866004545,0.0377930477,10407.71,6,0.274,5.3,5.1,0.105,0.172,0.164,0.406,0.228,0.4600658806,0.0001480385,0.0003454231,0.36,0.339,47.7641439512476,32.9407889318949
"01015",0.1421583549,0.0006642741,14.66579247,71,0.1817208446,0.0341970872,10672.9,6.1,0.223,4.9,4.9,0.129,0.15,0.148,0.39,0.238,0.5928549742,0.0008480674,0.0003426535,0.361,0.325,59.1491707630817,16.6536500206735
"01017",0.1489269456,0.0004108463,18.488085456,56.2,0.1894618834,0.0350204837,8622.91,5.6,0.258,5.1,4.9,0.12,0.161,0.155,0.395,0.208,0.611632325,0,8.78169e-05,0.38,0.326,57.6391399068004,14.654018620373
"01019",0.1457916565,0.0002688482,9.9857894535,78.66,0.1824257912,0.0409717186,10866.85,7.9,0.198,4.6,4.7,0.133,0.14,0.142,0.343,0.198,0.3294855516,0.0001908178,0.0001144907,0.355,0.359,48.6561927809575,16.6455396355907
"01021",0.1774851983,0.0001821038,15.934078441,52.45,0.2261653341,0.0567614204,10204.89,7.8,0.208,4.6,4.6,0.14,0.141,0.143,0.389,0.212,0.3232820842,0.0002957839,0,0.36,0.298,37.1704911814906,19.7231177697705
"01023",0.143454701,0.0003752909,21.016287623,47.52,0.1783292823,0.045264624,11424.18,5.4,0.254,4.9,4.8,0.112,0.15,0.146,0.425,0.19,0.2010967602,0,0.0003724117,0.395,0.331,47.5963826749167,30.0608732683684
"01025",0.1510473006,0.0005211465,19.643215073,68.37,0.1927083333,0.0420909708,9806.49,4.6,0.258,5.3,4.9,0.11,0.163,0.155,0.389,0.212,0.381411373,0.0003570437,0.0002777006,0.384,0.294,38.7560639875981,32.0739839897363
"01027",0.1778024212,0.0002951594,9.5926800472,82.35,0.222152297,0.057152296,9843.28,7.4,0.231,5,4.8,0.123,0.154,0.148,0.361,0.204,0.2126040769,7.4151e-05,0.0002966039,0.381,0.316,71.4408888231961,27.0982681743158
"01029",0.1426815276,0.000265252,8.6206896552,72.14,0.1823071641,0.044211108,10906.3,7.9,0.181,4.3,4.4,0.142,0.13,0.132,0.328,0.185,0.4015495592,0.0004001601,0.00020008,0.346,0.322,39.9183890712321,42.1360773529673
"01031",0.1499008686,0.000550001,15.910742698,60.04,0.1890499934,0.0521300448,9510.05,6.8,0.208,4.8,4.6,0.134,0.147,0.139,0.354,0.193,0.7079362537,0.0003533708,0.0003926342,0.342,0.298,43.1209084138039,15.0269832351135
"01033",0.1304269134,0.0006233614,17.600792036,72.48,0.1650769231,0.0363754466,10730.62,6.8,0.214,4.8,4.8,0.134,0.142,0.143,0.359,0.185,0.4425295804,0.0001834189,0.0007887014,0.346,0.309,74.6556355825893,16.5221488584419
"01035",0.1663015336,0.000394633,11.049723757,127.17,0.2104906479,0.0461592671,11168.67,4.3,0.314,5.8,5.3,0.103,0.187,0.174,0.412,0.238,0.0012851527,0.0003103903,0.0002327927,0.382,0.31,39.2372282821941,36.6214130633812
"01037",0.1550197997,0,11.023332721,48.52,0.1865581676,0.0506512301,10457.32,6.3,0.247,5.1,4.9,0.123,0.159,0.154,0.39,0.218,0.2448219083,0,0.0001835199,0.401,0.296,64.5994832041344,61.5233173372708
"01039",0.1541898332,0.0005011341,12.660231049,98.66,0.1968199007,0.0428374021,10405.82,7.2,0.214,4.8,4.8,0.131,0.147,0.145,0.355,0.199,0.5115053621,0.0004751095,0.0004751095,0.338,0.309,31.680380164562,10.5601267215207
"01041",0.1633866877,0.0001430922,10.73191672,72.58,0.2052454283,0.0548446069,10364.38,5.7,0.233,4.9,4.7,0.128,0.149,0.145,0.393,0.204,0.3558895441,0.0002145002,0.0006435006,0.396,0.299,40.547631541287,42.9327863378333
"01043",0.1640486025,0.0005289769,12.178769575,51.47,0.2082065296,0.048365806,9915.83,7.8,0.198,4.5,4.7,0.143,0.138,0.141,0.349,0.201,0.381339701,0.0008785933,0.0005073567,0.346,0.293,67.5938632965322,20.8926486552918
