"5-digit FIPS Code","Uninsured raw value","Primary care physicians raw value","Social associations raw value","Preventable hospital stays raw value","Uninsured adults raw value","Uninsured children raw value","Health care costs raw value","Food environment index raw value","Poor or fair health raw value","Poor physical health days raw value","Poor mental health days raw value","Excessive drinking raw value","Frequent physical distress raw value","Frequent mental distress raw value","Insufficient sleep raw value","Adult smoking raw value","Access to exercise opportunities raw value","Mental health providers raw value","Other primary care providers raw value","Adult obesity raw value","Physical inactivity raw value","MentalDisordersDeath","Suicide"
"01001",0.0938771186,0.0004516957,13.912226498,81.85,0.1219309197,0.0259531305,10674.34,7.1,0.1787881413,4.2240305575,4.1818400188,0.1495412249,0.1231248526,0.1256879348,0.376,0.1738023938,0.708214986,0.0001263652,0.0001805217,0.375,0.311,26.480819460995,18.0551041779511
"01003",0.1152439661,0.0007265266,11.045167371,46.3,0.1471986088,0.0327343851,9537.12,7.9,0.1636197265,3.736320366,3.9660892942,0.153780314,0.1162799691,0.1248073144,0.328,0.179371199,0.721685458,0.0007795673,0.0003398114,0.31,0.238,53.0713622030657,20.4120623857945
"01005",0.1331045208,0.0004152667,7.9278190947,58.44,0.1740155086,0.0363415058,9790.62,5.5,0.2502040126,4.8060566405,4.7680781875,0.1192345003,0.1556197999,0.1510871039,0.396,0.2277668861,0.4526714499,7.43854e-05,0.0001859635,0.443,0.282,39.0718544006251,13.8642064002218
"01007",0.1185588115,0.0005313732,10.627463136,92.87,0.1507056854,0.0314125234,10755.78,7.6,0.195402311,4.3543896681,4.3680624999,0.1430965174,0.132117057,0.133375711,0.406,0.1985076584,0.3283875191,0,0.0002665956,0.378,0.349,35.4337683812673,22.1461052382921
"01009",0.1396365941,0.0002080696,8.8429594438,57.82,0.1769911504,0.0448953162,10326.33,8.5,0.1894760806,4.4515731419,4.4838318637,0.1390288774,0.1325861944,0.1347137314,0.362,0.2103738153,0.2550853076,5.1976e-05,8.66266e-05,0.344,0.285,38.1291306558211,16.7537089245274
"01011",0.1450443191,0.0002804787,9.349289454,67.02,0.191509434,0.0321302817,10314.38,4.5,0.2825794509,4.9558586482,4.5660296529,0.1138095356,0.1580292858,0.1470543241,0.441,0.2277492503,0.231995602,9.29023e-05,0.0005574136,0.394,0.292,18.8548802715103,31.4248004525171
"01013",0.1224264706,0.0003473256,10.915947207,93.13,0.1603967168,0.0275041051,10176.13,6.5,0.2662129034,5.2420308431,4.9779910075,0.1137748841,0.1605738909,0.1552981365,0.406,0.2183234745,0.4600658806,0.0001970832,0.0003941663,0.402,0.347,38.0492323980942,33.0862890418211
"01015",0.1139686808,0.0006486767,14.01141671,72.8,0.1451450298,0.0289184061,10901.19,6.8,0.2200320457,4.9084565308,4.6655153388,0.1466247273,0.1443921055,0.1415397562,0.39,0.2032038238,0.5928549742,0.0008799475,0.0003537044,0.371,0.302,47.9565040286352,18.489254565257
"01017",0.1331442699,0.0004688919,18.169563051,62.49,0.1696384834,0.0294941946,9256.66,6.1,0.2448961679,4.7586970535,4.7323618611,0.1171219827,0.1478672339,0.1471791178,0.395,0.2090587472,0.611632325,0,8.80385e-05,0.403,0.324,47.0394543423296,21.5597499069011
"01019",0.1168212709,0.0003867126,10.05452647,76.63,0.1464501963,0.0313078918,11470.43,8.2,0.192947134,4.4920998432,4.5243152951,0.130800865,0.1330824404,0.137167016,0.343,0.1842082439,0.3294855516,0.0001920344,0.0001152206,0.363,0.318,51.532446116386,20.6129784465544
"01021",0.152329944,0.000182054,16.612429739,65.11,0.1947084315,0.0476277041,10515.38,8.2,0.2085263425,4.6606824193,4.490854876,0.1419655184,0.1390767359,0.1382837964,0.389,0.2011223045,0.3232820842,0.0003869705,0,0.353,0.312,28.0696430603497,15.9314190342526
"01023",0.1181774115,0.0003796507,20.501138952,64.87,0.1467483383,0.037235947,11241.35,6.2,0.2495127206,4.9726306721,4.6845877636,0.104430517,0.1498789661,0.1446624565,0.425,0.2047858547,0.2010967602,0,0.0003752909,0.413,0.326,37.9881476979183,30.3905181583346
"01025",0.1255639098,0.0005673759,19.047619048,62.55,0.1606959381,0.0314586995,9935.26,5.2,0.2290433968,4.8603151207,4.6965588541,0.1187308093,0.1503605944,0.1467673594,0.389,0.2005875892,0.381411373,0.0003607937,0.0004008819,0.396,0.323,28.3737772253148,8.10679349294709
"01027",0.1436958345,0.0002950941,11.066027296,57.37,0.1799518439,0.044955045,9781.85,7.8,0.2108929061,4.5910380687,4.6096351645,0.1286466355,0.1403691392,0.142946282,0.361,0.1914268322,0.2126040769,7.37898e-05,0.0003689492,0.377,0.306,86.2090199265992,14.7786891302741
"01029",0.1212046,0.0002663471,9.9880143827,67.61,0.1547509225,0.0372532666,11134.31,8.1,0.1723973366,4.077727709,4.3087417924,0.146141508,0.1212485588,0.1286790999,0.328,0.1829197516,0.4015495592,0.000397878,0.000198939,0.345,0.287,35.5381813335703,42.2015903336147
"01031",0.1193324715,0.0005662846,16.012184882,52.76,0.152815979,0.0362989324,9855.89,7.5,0.1894319274,4.292121602,4.1957374385,0.1386694591,0.128010933,0.1306743695,0.354,0.1856821751,0.7079362537,0.0004910723,0.0004517865,0.334,0.303,38.4750824931853,17.6072411409492
"01033",0.1060274472,0.0006255289,18.213930897,74.59,0.1335684237,0.0305569246,10879.2,7.2,0.1988229628,4.452163704,4.3593710653,0.1313895405,0.1350828486,0.1353733413,0.359,0.204485884,0.4425295804,0.0002566782,0.0009350421,0.325,0.33,71.1163426581572,17.7790856645393
"01035",0.1465794769,0.0003945707,9.4696969697,140.09,0.188505431,0.0340425532,10934.61,5.1,0.2769151006,5.3249158584,5.097072835,0.1008156544,0.1735724515,0.1648610811,0.412,0.2292938126,0.0012851527,0.000394633,0.0002367798,0.387,0.346,42.3987068394414,37.0988684845112
"01037",0.1348181495,0,10.257366654,71.71,0.1624218393,0.0404797601,10704.08,6.6,0.2322919676,4.7476384187,4.6322629196,0.1160703085,0.1468294366,0.145765405,0.39,0.2030492465,0.2448219083,9.18611e-05,9.18611e-05,0.404,0.31,65.2356248640924,62.1291665372309
"01039",0.1226305094,0.0005021805,13.21527686,93.51,0.157552143,0.0313367253,10886.93,7.4,0.21239807,4.6126189336,4.4429323861,0.1298504945,0.1391856445,0.1392278471,0.355,0.1856733685,0.5115053621,0.0005011341,0.0004747587,0.334,0.328,28.2668032895492,12.3667264391778
"01041",0.1280857419,0.0001432357,10.742677075,73.06,0.1624531269,0.0391146149,10219.74,6.2,0.2028149457,4.241128657,4.4421193194,0.1312818341,0.1330146226,0.13864864,0.393,0.1902747925,0.3558895441,0.0002861844,0.000643915,0.382,0.3,43.0076697010967,43.0076697010967
"01043",0.1414699305,0.000548747,12.072434608,58.65,0.181061137,0.0373542083,10123.51,8.2,0.2076901517,4.5281584088,4.3912356633,0.1336229384,0.1332793349,0.1358227848,0.349,0.1795909094,0.381339701,0.0010210484,0.000578184,0.345,0.334,52.8960592435864,23.5997802779078
"01045",0.1147269046,0.0002219308,11.70180571,53.65,0.1485677568,0.0284502121,10691.7,6.7,0.2148935589,4.6441798968,4.7206006119,0.1461758645,0.1361120252,0.1383248387,0.408,0.1906946571,0.4796720463,0.0007275079,0.0007477164,0.373,0.287,44.5118866970157,12.1396054628225
"01047",0.1212968962,0.0007050643,13.615034889,63.59,0.1620675281,0.0242073287,10329.2,4.3,0.2800030139,5.4884965368,4.9523643649,0.1007914944,0.180042301,0.1654301814,0.437,0.2272669541,0.5883386581,0.0003596174,0.0001678214,0.419,0.281,31.7460317460317,10.5820105820106
"01049",0.1764735635,0.0004077042,9.2787853226,68.57,0.2297207447,0.0480779883,10156.38,8.5,0.2228648679,4.9765546586,4.7312515876,0.1328946076,0.1481336695,0.1454272024,0.363,0.215681082,0.4024806986,0.0001688595,0.000337719,0.304,0.305,44.1117811304817,15.0167765550576
"01051",0.0931766232,0.0002945942,10.433544459,63.86,0.1197081237,0.028093957,10031.65,7.6,0.1715945934,3.947610692,4.2610996729,0.1655418926,0.1178968242,0.1262944781,0.34,0.1849480765,0.6806299888,9.87935e-05,0.0001728886,0.361,0.279,30.7069979201127,22.1090385024811
"01053",0.1554595054,0.0003969409,14.554499987,95.58,0.2040357624,0.0382830626,11031.84,6.5,0.2534024468,5.1734530736,4.8161574094,0.1210472243,0.1603921288,0.1529274822,0.387,0.2107871252,0.5611576503,0.000371028,0.000238518,0.384,0.3,60.9271523178808,19.4260485651214
"01055",0.1197089232,0.0008150829,15.622422543,80.7,0.1529152016,0.0292756108,12308.84,7,0.1969252203,4.4923911939,4.5434579286,0.1236005169,0.1369179971,0.1405777015,0.399,0.1919868299,0.4396916595,0.0008982817,0.0005795366,0.361,0.334,65.6634923920919,15.202877548908
"01057",0.1191463691,0.0010143803,11.337191957,86.36,0.1516368128,0.0314918602,11417.23,7.7,0.2100570775,4.6029809012,4.63141039,0.1330047467,0.1406722665,0.1404420428,0.368,0.1978939769,0.2744040369,0.0001185255,0.0001777883,0.378,0.346,79.714621654477,31.8858486617908
"01059",0.1644604589,0.0004732458,10.095911156,108.96,0.2128351367,0.0468340202,11748.53,7.9,0.2267153983,4.6840425352,4.6622169151,0.1303922253,0.1468342648,0.144910302,0.377,0.2021777623,0.5883800151,6.32891e-05,0.0003480903,0.33,0.335,54.7800895443771,12.6415591256255
"01061",0.1568664111,0.0002614184,8.5894611047,82.32,0.2019267823,0.0380843413,10500.24,7.9,0.2253451276,4.7560564231,4.6731880941,0.1294722211,0.1439350593,0.1444797622,0.358,0.2146831578,0.2742814483,0.0001497454,0.0002246181,0.38,0.323,51.184100470644,14.9807123328714
"01063",0.1212563915,0.0005896922,11.793843614,74.62,0.1569063005,0.0290145073,10073.02,3,0.3442376556,5.7733478458,5.2500191866,0.0867658234,0.1938158068,0.1763917287,0.47,0.2625703424,0.1515754561,0.000116918,0.0002338361,0.421,0.279,39.2865561404887,31.429244912391
"01065",0.1206713925,0.0001990974,5.9729227502,72.26,0.1557042413,0.0322845417,10359.42,6,0.2910380161,5.3076634512,4.8653623398,0.100805387,0.1661798707,0.1570237624,0.43,0.2205190859,0.5830583756,6.58588e-05,0.0001975764,0.42,0.309,50.8804530572516,59.729227501991
"01067",0.1352154532,0.0002903432,16.259218396,38.02,0.1693132396,0.0426716141,10535.13,7.6,0.2070919313,4.3527712939,4.4362865183,0.1294579502,0.1310401568,0.1354305429,0.368,0.1797317894,0.3151658768,0.0001745201,0.0001745201,0.379,0.323,56.228793019874,19.3892389723703
