"5-digit FIPS Code","Uninsured raw value","Primary care physicians raw value","Social associations raw value","Preventable hospital stays raw value","Uninsured adults raw value","Uninsured children raw value","Health care costs raw value","Food environment index raw value","Poor or fair health raw value","Poor physical health days raw value","Poor mental health days raw value","Excessive drinking raw value","Frequent physical distress raw value","Frequent mental distress raw value","Insufficient sleep raw value","Adult smoking raw value","Access to exercise opportunities raw value","Mental health providers raw value","Other primary care providers raw value","Adult obesity raw value","Physical inactivity raw value","MentalDisordersDeath","Suicide"
"01001",0.0872168595,0.000450418,12.071202076,7108,0.1114898915,0.0266915405,11793.42,7.2,0.1841112436,4.2005779826,4.3067392835,0.1687801512,0.1282443447,0.1263835707,0.3590540606,0.191246585,0.686775027,0.0001263173,0.0002887253,0.33,0.306,23.4204694903346,22.2194197728815
"01003",0.1133340447,0.0007289727,10.205617322,4041,0.1434852477,0.0353876329,10160.76,8,0.1806045782,4.0987477691,4.2496487805,0.1671496869,0.1262200157,0.1282255819,0.3330586814,0.1679548515,0.7197103119,0.0008918169,0.000436319,0.3,0.247,58.0401212115523,19.5552969041618
"01005",0.1224279246,0.0003165809,7.5187969925,6209,0.1608583414,0.0291353383,11655.99,5.6,0.2577341563,5.0674383044,4.634994147,0.1269871542,0.1621615961,0.1463231059,0.3856316713,0.2154087757,0.5362566923,7.70268e-05,0.0002695937,0.412,0.28,39.4135267223711,14.4516264648694
"01007",0.1020625259,0.0004852656,8.3818598906,5961,0.13,0.0261780105,11652.95,7.8,0.1999691186,4.3633772783,4.3157100192,0.1592515079,0.1316296828,0.1285403606,0.381488654,0.1991640424,0.1625136374,8.83275e-05,0.0007507839,0.374,0.334,36.9216227791644,17.7223789339989
"01009",0.1336075949,0.0002240877,8.4463827073,4060,0.1708234188,0.0407728371,11964.7,8.4,0.2109532316,4.5127526482,4.7015992588,0.1537872189,0.1372005681,0.138279427,0.3594501042,0.1965215818,0.2294930393,8.66491e-05,0.0001213087,0.33,0.333,35.1469546028106,18.4377466768843
"01011",0.1144037612,0.0002910079,7.7602095257,6632,0.1524096386,0.0228544776,9366.14,4.3,0.2940771388,5.2266193898,4.7919184772,0.1289631731,0.1663247935,0.1484005471,0.4502063587,0.2347829118,0.2669048928,9.65065e-05,0.0007720517,0.466,0.424,32.4580479729949,32.4580479729949
"01013",0.1118600954,0.0002522068,9.079445145,9203,0.1450576534,0.0265945946,11811.18,6.6,0.265026132,5.1174326174,5.1345730819,0.1304281127,0.1619792823,0.1547420506,0.419110839,0.2219765552,0.4857974889,0.000250025,0.000550055,0.468,0.403,35.2923382014352,33.6117506680335
"01015",0.1192916752,0.0006362876,14.469004951,6581,0.1538868712,0.0243855085,12450.83,6.9,0.1958470142,4.2904480661,4.4765721664,0.1543167701,0.1302095258,0.138065685,0.4131434398,0.2046223175,0.4471376042,0.0009423179,0.0005060596,0.397,0.311,34.9227044142298,22.9907804060346
"01017",0.1193807681,0.0004152701,17.79728888,5622,0.1522631684,0.0253876767,9572.97,6.4,0.2521983554,5.0370446678,4.9326462099,0.1352845089,0.1542820773,0.1456000236,0.3726657479,0.2204036962,0.6186467923,2.95482e-05,0.000147741,0.423,0.287,39.5370214784869,28.664340571903
"01019",0.1117264992,0.0003867425,8.5083343002,5521,0.1394033268,0.0313909774,11340.18,8.3,0.1929159345,4.2779170785,4.6812529447,0.1523273067,0.1300955694,0.1364344403,0.3535507081,0.1914485261,0.3342952788,0.0001943635,0.0004664723,0.384,0.304,56.6908032056072,25.7685469116396
