"5-digit FIPS Code","Uninsured raw value","Primary care physicians raw value","Social associations raw value","Preventable hospital stays raw value","Uninsured adults raw value","Uninsured children raw value","Health care costs raw value","Food environment index raw value","Poor or fair health raw value","Poor physical health days raw value","Poor mental health days raw value","Excessive drinking raw value","Frequent physical distress raw value","Frequent mental distress raw value","Insufficient sleep raw value","Adult smoking raw value","Access to exercise opportunities raw value","Mental health providers raw value","Other primary care providers raw value","Adult obesity raw value","Physical inactivity raw value","MentalDisordersDeath","Suicide"
"01001",0.1004731422,0.0004676175,12.229995863,6650,0.1300796103,0.0254712175,11182.66,6.7,0.2088298733,4.7438888672,4.6540313965,0.1502603126,0.1368522862,0.1412934665,0.3590540606,0.1808155718,0.6913012406,0.0001621505,0.0003062842,0.353,0.322,20.9613472756237,18.5657647298382
"01003",0.1316898257,0.000701764,10.503527167,3471,0.1675343756,0.0377124754,11007.27,7.8,0.1750913436,4.2245192015,4.3040564688,0.179583101,0.1248010767,0.1347533556,0.3330586814,0.174890326,0.7371354895,0.0009123916,0.0005220385,0.296,0.276,53.5263135357342,18.6577435753131
"01005",0.1350403367,0.0003215305,7.6363490213,5314,0.1767323062,0.0342987805,12189.42,5.5,0.2959180171,5.4302788594,5.1855944125,0.1284401555,0.171848975,0.1658625221,0.3856316713,0.2199998453,0.5316676986,7.91452e-05,0.0002374357,0.404,0.416,33.4059355666315,14.6986116493179
"01007",0.1059905065,0.0005357143,8.4821428571,6690,0.1342990425,0.0287183883,12262.24,7.6,0.1943972416,4.5914824378,4.5516988486,0.1557004237,0.1362657549,0.1401753635,0.381488654,0.1911419989,0.1625136374,8.82301e-05,0.0009264161,0.412,0.377,45.9517950846402,16.3054756751949
"01009",0.1411599685,0.0002074689,7.7800829876,4440,0.1793470232,0.0447031767,12191.02,7.9,0.2174529281,4.8608076303,4.8914546677,0.1423059383,0.1452316434,0.1485927083,0.3594501042,0.1920867197,0.1563448589,0.0001034251,0.0001896127,0.387,0.333,27.6371927521462,21.3036694131127
"01011",0.1187354312,0.0002959164,7.8911027816,5645,0.1578512397,0.0257370145,11260.03,5,0.3099910185,5.3591593432,4.8913510426,0.1209410123,0.1688096852,0.1585477602,0.4502063587,0.2289466401,0.0250137438,9.70026e-05,0.000776021,0.438,0.413,42.5559774780673,32.735367290821
"01013",0.1190183255,0.000254065,9.6544715447,8070,0.1532157492,0.0290697674,12044.96,6.8,0.2791067318,5.4008061965,5.340750195,0.1185740343,0.1669670739,0.1691536387,0.419110839,0.2176533496,0.4857974889,0.0003530895,0.0006557377,0.397,0.407,28.8365307957186,33.9253303479043
"01015",0.1110382943,0.0006387987,14.263587599,5879,0.1409068025,0.0285129175,12327.48,6.6,0.2310773322,4.8803767403,4.8160722877,0.1384223015,0.1475440129,0.1519150739,0.4131434398,0.2061256037,0.477212158,0.0009849383,0.0005055435,0.359,0.326,42.6140509617349,21.3070254808675
"01017",0.1161052908,0.0004164807,18.146660717,5784,0.1465144352,0.0274586719,10426.43,6.7,0.239954736,4.9411783568,4.8735807661,0.1274573462,0.1524778731,0.1549667308,0.3726657479,0.1939292705,0.6186467923,5.93243e-05,0.0001483107,0.395,0.369,34.7974786741166,20.87848720447
"01019",0.1348280716,0.0003841426,8.4511370621,5178,0.1676007473,0.036179173,12138.96,7.7,0.206984706,4.7756141014,4.7112704225,0.1410656285,0.1436571083,0.1467794145,0.3535507081,0.1749867379,0.3342952788,0.0001933712,0.0006961364,0.343,0.36,53.7875392200807,28.1744253057565
