"5-digit FIPS Code","Uninsured raw value","Primary care physicians raw value","Social associations raw value","Preventable hospital stays raw value","Uninsured adults raw value","Uninsured children raw value","Health care costs raw value","Food environment index raw value","Poor or fair health raw value","Poor physical health days raw value","Poor mental health days raw value","Excessive drinking raw value","Frequent physical distress raw value","Frequent mental distress raw value","Insufficient sleep raw value","Adult smoking raw value","Access to exercise opportunities raw value","Mental health providers raw value","Other primary care providers raw value","Adult obesity raw value","Physical inactivity raw value","MentalDisordersDeath","Suicide"
"01001",0.0935123905,0.0004474753,12.88728991,4931,0.1196066271,0.0265310635,11377.4,6.5,0.1983917887,4.501498764,4.8502135182,0.1447388631,0.1325295812,0.1580923066,0.3844333214,0.1981076587,0.6913012406,0.0002338087,0.0003956763,0.373,0.264,30.4268711034215,15.5117382095874
"01003",0.109067738,0.0006898591,10.123905857,3578,0.137782924,0.0340819821,11526.23,7.4,0.1646067529,3.6479777573,4.7682935308,0.1873695763,0.1161164107,0.1475556542,0.3637796048,0.1851331826,0.7371354895,0.0009632055,0.0005595766,0.326,0.232,40.8624055429704,19.9838041706498
"01005",0.1299147324,0.0003645791,7.2915822734,4548,0.1684114324,0.0355892649,12296.62,5.7,0.2984149992,5.5692666827,5.5904935124,0.1246697372,0.181321046,0.1895469464,0.408895893,0.2553076754,0.5316676986,8.03826e-05,0.000522487,0.464,0.357,41.8037650358703,18.8791196936189
"01007",0.1099324976,0.0005805126,8.930963651,6329,0.1389869469,0.0308721934,12880.49,7.6,0.2385328355,4.8943765041,5.2711142294,0.1542060328,0.1506592018,0.1714179321,0.4011005848,0.2308481254,0.1625136374,0.0002232143,0.0011160714,0.384,0.316,46.3170476617361,16.435081428358
"01009",0.1427102744,0.0002248124,7.4361014077,4260,0.1806290505,0.0467602356,13563.39,7.8,0.2198560956,4.9866219497,5.3578091017,0.158332838,0.1481247144,0.1712957021,0.3884710906,0.2295495894,0.1563448589,0.0001556017,0.000224758,0.327,0.285,33.9969460370509,22.472557549915
"01011",0.11099631,0.0002970003,7.92000792,3775,0.1475752508,0.0238208671,11975.4,4.6,0.3144493189,5.5134424871,5.3948002615,0.1174553146,0.1787151997,0.1815980554,0.4465271376,0.2490571295,0.0250137438,0.0001972776,0.0008877491,0.483,0.396,52.9538308787026,33.0961442991891
"01013",0.115727003,0.0002570958,9.2554504319,5885,0.1466570162,0.0336715867,12158.59,6.9,0.2788672095,5.3876104505,5.7180745884,0.1255623275,0.169435374,0.185264872,0.4197116999,0.2282680655,0.4857974889,0.0005081301,0.0007113821,0.454,0.323,22.1721926592987,34.1110656296903
"01015",0.1190381426,0.0006161701,13.379692795,5234,0.1514969701,0.0297716313,12823.81,5.9,0.2366105737,4.8950277497,5.683091019,0.137202635,0.1524486802,0.1782282994,0.3826870475,0.2123431781,0.477212158,0.0011550881,0.0005600427,0.374,0.281,48.6302955022836,21.0926582901471
"01017",0.1216412769,0.0004510736,18.042942202,4068,0.1542930591,0.0278014184,10931.06,7,0.2507392337,5.0273498783,5.4699221658,0.1367048649,0.1579391203,0.1756663479,0.4051051084,0.2321615642,0.6186467923,5.94972e-05,0.0001487431,0.412,0.322,41.109350873323,21.0560089838972
"01019",0.1298178525,0.0003817377,8.3982287372,5476,0.160482313,0.0367789392,14058.59,7.2,0.2288776803,4.9099552246,5.5674130978,0.1594083244,0.1556881762,0.1807841566,0.3786397167,0.2355969744,0.3342952788,0.0001920713,0.0008066994,0.413,0.286,62.4028934566109,21.6499834441303
