"5-digit FIPS Code","Uninsured raw value","Primary care physicians raw value","Social associations raw value","Preventable hospital stays raw value","Uninsured adults raw value","Uninsured children raw value","Health care costs raw value","Food environment index raw value","Poor or fair health raw value","Poor physical health days raw value","Poor mental health days raw value","Excessive drinking raw value","Frequent physical distress raw value","Frequent mental distress raw value","Insufficient sleep raw value","Adult smoking raw value","Access to exercise opportunities raw value","Mental health providers raw value","Other primary care providers raw value","Adult obesity raw value","Physical inactivity raw value","MentalDisordersDeath","Suicide"
"51570",0.1028868032,0.0013504389,14.067071798,4894,0.1259624877,0.0451363746,9761.08,8.4,0.1535080757,3.4990969667,3.6250670257,0.1565936688,0.1070608108,0.1151007043,0.3394239761,0.1608854227,0.912067084,0.0017396184,0.0008978676,0.265,0.246,136.647822994272,26.2064318071207
"51580",0.0994654892,0.0005436752,45.306270388,5591,0.11996337,0.0343866171,9708.75,7.3,0.1719631179,3.8708547174,3.9084200866,0.1624722094,0.1180916369,0.124021312,0.3555633988,0.1823991569,1,0.0021208908,0.0007069636,0.267,0.238,59.8551505357036,59.8551505357036
"51590",0.1075913777,0.000978567,22.196763569,5382,0.134485739,0.0385026738,9667.01,6.5,0.2155429616,4.1923850839,4.0433908163,0.1291587265,0.1310082535,0.1326091495,0.3930261331,0.1982620707,0.85207293,0.0018535241,0.0017109453,0.296,0.302,159.060027176085,16.7852289984813
"51595",0.1193181818,0,30.160226202,6384,0.1523463318,0.0379746835,8774.51,5.9,0.2932217822,5.0216879712,4.5036017688,0.1122639822,0.1658509923,0.156251812,0.4302321813,0.2382704304,0.700860469,0,0,0.259,0.251,87.0484362370205,0
"51600",0.0936002396,8.27678e-05,29.382552558,3285,0.1062645968,0.0617801047,8367.45,10,0.1263982303,2.8346606307,3.018014284,0.1756206169,0.083878231,0.0916271294,0.3242613503,0.1150935883,1,0.0111606213,0.0014158997,0.243,0.19,74.715665384509,13.8362343304646
"51610",0.0373590982,0.0032110746,21.407164264,2954,0.0438503928,0.0248645987,7969.23,NA,0.1101382338,2.715510547,3.1072364542,0.195151943,0.0798381083,0.0915620878,0.3254955203,0.128371277,1,0.0089979845,0.0017995969,0.196,0.162,32.9497046294335,11.7677516533691
"51620",0.1028502488,0.0013243438,20.467132194,5577,0.128821421,0.0393145161,9734.05,4.4,0.2221657244,4.2838325591,4.1094512862,0.1322160052,0.1318073312,0.1314761722,0.4037291569,0.1887955676,0.8250990445,0.0008244994,0.0008244994,0.491,0.272,112.125580650328,100.11212558065
"51630",0.1122229537,0.0013075591,13.075591052,5657,0.1318435754,0.0564663024,9720.91,7.8,0.1814957235,3.7973168147,3.7015322549,0.1871282438,0.116373373,0.1183606577,0.3679649563,0.1807353696,1,0.0053346611,0.0034497475,0.317,0.261,38.926570333235,18.873488646417
"51640",0.1575238095,0,23.616236162,4563,0.1967818518,0.0583333333,10179.69,8.3,0.215260554,4.4434343069,4.2262097573,0.1402621275,0.1397041655,0.1395853592,0.3613238858,0.1986043894,0.7337404147,0.003760486,0.0031819497,0.289,0.275,241.212956581668,241.212956581668
"51650",0.090999377,0.0004283288,10.117421165,4230,0.1106506874,0.0347599023,8838.89,6.6,0.1858833325,3.7705043666,3.6507756203,0.1767605495,0.114671864,0.1168644187,0.4191496266,0.1726290157,0.86580663,0.0021472438,0.000630249,0.381,0.236,55.5920429583822,11.0692120934832
"51660",0.1431481931,0.0014130148,14.318550058,3883,0.1646315534,0.0610119048,8275.57,7.7,0.238372874,4.4644023524,4.1674633849,0.1880487326,0.1449386143,0.140246675,0.3489599712,0.2044441659,0.7908778673,0.0032167193,0.0015607751,0.254,0.262,43.1705989451358,12.5132170855466
