"5-digit_FIPS_Code","share_15_19_f","share_20_24_f","share_25_29_f","share_30_34_f","share_35_39_f","share_40_44_f","share_15_19_MALE_f","share_15_19_FEM_f","share_20_24_MALE_f","share_20_24_FEM_f","share_25_29_MALE_f","share_25_29_FEM_f","share_45_64_f","share_65_over_f","POPESTIMATE_f","white_pop_f","black_pop_f","native_pop_f","asian_pop_f","hispanic_pop_f","census_o25_highschool_f","census_o25_college_f","bls_unemployment_rate_f","census_poverty_f","lnarea_f","land_f","pop_density_f","sh_emp_information_f","sh_emp_consre_f","sh_emp_manufac_f","pop_gr_f"
"01001",0.0695043986667395,0.0638034351492632,0.0613263391800084,0.062255250168479,0.0621095386408757,0.073183614738721,0.0362275285503524,0.0332768701163871,0.0325847403602718,0.0312186947889915,0.0305265650328762,0.0307997741471322,0.2663606724587,0.142833724933064,54903,0.75575105185509,0.186856820210189,0.00411635065479118,0.0107644391016884,0.0265559259056882,0.335416724028745,0.225859742834329,5.2,12.9,6.40421962738037,603.66011065115,90.9501870858716,0.00778498593717813,0.0522706210613251,0.0911955535411835,0.260829985141754
"01003",0.0604034445916071,0.0553271525004801,0.0562134110614916,0.0568387157128719,0.0597190560361593,0.0637613798061063,0.0306153096242756,0.0297881349673315,0.0282568771202505,0.0270702753802295,0.0277940532050556,0.028419357856436,0.275582099546531,0.189816889133978,203101,0.833378466871163,0.091230471538791,0.00649922944741779,0.00983254636855555,0.0435152953456655,0.287815417405712,0.226859657958701,5.5,13.4,7.61446523666382,1819.92149020052,111.598770108276,0.0103030595928431,0.0861414074897766,0.0671655163168907,0.475152760744095
"01005",0.0536501901140684,0.0665399239543726,0.0699239543726236,0.0709505703422053,0.0613688212927757,0.0638403041825095,0.0280988593155894,0.0255513307984791,0.0397338403041825,0.0268060836501901,0.0437262357414449,0.0261977186311787,0.263003802281369,0.173269961977186,26300,0.463307984790875,0.476920152091255,0.00262357414448669,0.00433460076045627,0.0418250950570342,0.345065929391748,0.191035729476818,8.9,26.7,6.80740451812744,837.58064516129,31.3999614866166,0.00429248064756393,0.0204262882471085,0.348579049110413,-0.105857640504837
"01007",0.0591495588170088,0.0648694187026116,0.074047798519044,0.0701902185961956,0.0677071786458564,0.071609098567818,0.0331663193366736,0.0259832394803352,0.035915399281692,0.0289540194209196,0.0434975391300492,0.0305502593889948,0.272025894559482,0.152440916951182,22553,0.744424245111515,0.217886755642265,0.0032811599343768,0.001773599964528,0.0234115195317696,0.420628319150298,0.218376095719496,6.6,16.8,6.439621925354,615.298925799887,36.653728869559,0.00935990363359451,0.265700489282608,0.0945048332214355,0.138926610350609
"01009",0.0637177370296341,0.0593725558355783,0.0569740158164595,0.0581385243764665,0.0609368210654384,0.0661684192230816,0.0338228904145303,0.0298948466151038,0.0308855479273486,0.0284870079082298,0.0285217693577822,0.0284522464586773,0.268653862866082,0.173720344138351,57535,0.878752063961067,0.0144607630138177,0.00491874511167116,0.00253758581732858,0.0871643347527592,0.334424482338611,0.223990052781161,5.4,16.7,6.47794103622437,649.088852751058,88.6396365553765,0.00685696071013808,0.0633072853088379,0.174294367432594,0.128331482410431
"01011",0.0542099192618224,0.0671856978085352,0.0739138792772011,0.0740099961553249,0.0635332564398308,0.065840061514802,0.0272971933871588,0.0269127258746636,0.038638985005767,0.0285467128027682,0.0446943483275663,0.0292195309496348,0.276336024605921,0.153114186851211,10404,0.217320261437909,0.697904652056901,0.00288350634371396,0.00192233756247597,0.0723760092272203,0.333154073675719,0.145603656897015,7.9,24.6,6.43797588348389,592.114285714286,17.5709322524609,0.0339622646570206,0.00603773584589362,0,-0.105567544698715
"01013",0.0634668782229274,0.0594506148353828,0.0582606108687029,0.0598472828242761,0.0621777072590242,0.0561781039270131,0.031981356604522,0.0314855216184054,0.0292542641808806,0.0301963506545022,0.0268246727489092,0.0314359381197937,0.267453391511305,0.185541451804839,20168,0.521816739389131,0.440747719159064,0.00307417691392305,0.0120487901626339,0.0132883776279254,0.376821949128322,0.173692483566733,7.6,25.4,6.65657234191895,740.666666666667,27.2295229522952,0.0246118269860744,0.0513709932565689,0.233399406075478,-0.0600235015153885
"01015",0.0664474253569883,0.0691562094331458,0.0691475551709217,0.0609606231068801,0.0605106014712246,0.0601730852444829,0.0337170056252704,0.0327304197317179,0.0341497187364777,0.0350064906966681,0.0337343141497187,0.0354132410212029,0.269493725659887,0.1640501947209,115550,0.727442665512765,0.207226308957161,0.0039463435742103,0.00884465599307659,0.0348334054521852,0.318449809402795,0.244790343074968,7,20.5,6.41720581054688,585.646406679873,197.303353494598,0.0149632897228003,0.0292844977229834,0.167080760002136,0.0326617769896984
"01017",0.0594274955135183,0.0642523020799623,0.062810744020476,0.0547203671560119,0.0557500514842164,0.0605160189461916,0.0315377599952929,0.0278897355182254,0.031684857756465,0.0325674443234974,0.0318613750698714,0.0309493689506046,0.282898414286135,0.185343179076814,33991,0.560913182901356,0.394486775911271,0.0023535641787532,0.0112088494013121,0.020417169250684,0.383807844125304,0.212102124800538,6.1,21.6,6.402099609375,589.59928746242,57.651019468314,0.0136598367244005,0.0393136739730835,0.323005169630051,-0.074113592505455
"01019",0.0582773223512957,0.0556354170713703,0.0501962003185827,0.0454563114340106,0.0519833715373558,0.0640273514899569,0.030148801429737,0.0281285209215587,0.0299933952368002,0.0256420218345701,0.0257585764792727,0.02443762383931,0.295466024321069,0.217024748436225,25739,0.917712420839971,0.043358327829364,0.00532266210808501,0.00287501456933059,0.0151521038113369,0.364471015266361,0.220775061385716,5.5,19.2,6.39689636230469,548.507444841025,46.9255253362331,0.00683491071686149,0.0318086221814156,0.2860147356987,0.073530025780201
